Position,Classification
ผู้ปฏิบัติงานอาชีพในกลุ่มนี้ รวมถึงผู้บัญญัติกฎหมายซึ่งมิได้จัดประเภทไว้ในที่อื่นกลุ่มอาชีพในหมู่นี้ มีดังนี้,1110
ผู้ปฏิบัติงานอาชีพในหมู่นี้ ได้แก่ ผู้ปฏิบัติงานบริหารและดำเนินการให้เป็นไปตามนโยบายของรัฐบาล ภายในขอบเขตของกฎหมาย กฎ และระเบียบข้อบังคับที่ได้วางไว้ ปฏิบัติงานในหน้าที่โดยให้คำแนะนำด้านนโยบายต่าง ๆ แก่ฝ่ายปกครองในระดับต่าง ๆ เช่น ระดับประเทศ ภูมิภาค หรือท้องถิ่น ให้คำแนะนำเกี่ยวกับงานงบประมาณ กฎหมาย กฎระเบียบต่าง ๆ ควบคุมและให้ดำเนินการบรรลุตามนโยบายของรัฐและหน่วยงาน เป็นตัวแทนของประเทศในต่างแดนและในท้องถิ่น ควบคุมดูแลผู้ปฏิบัติงานอื่น ๆ,1120
ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้บริหารและดำเนินการให้เป็นไปตามนโยบายของรัฐบาลภายในขอบเขตของกฎหมาย กฎ และระเบียบข้อบังคับที่วางไว้ ปฏิบัติงานในหน้าที่ที่กำหนดไว้ในส่วนราชการ รัฐวิสาหกิจ หรือในหน่วยงานของรัฐอื่นๆ เช่น การคลัง การสาธารณสุข การศึกษา การแรงงาน เป็นต้น มีส่วนร่วมในการกำหนดนโยบายของรัฐบาลและสั่งการให้ส่วนราชการดำเนินการให้เป็นไปตามนโยบาย รวมถึงการเป็นผู้แทนของประเทศในการปฏิบัติงานในต่างแดน ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ0,1120
บริหารงานในฐานะหัวหน้าส่วนราชการ รองหัวหน้าส่วนราชการระดับกระทรวง หรือระดับกรมหรือเทียบเท่า : กำหนดนโยบายและแผนปฏิบัติการในความรับผิดชอบให้สอดคล้องกับกฎหมาย นโยบายของรัฐบาลและแผนพัฒนาเศรษฐกิจและสังคมของประเทศ ให้คำปรึกษาและเสนอความเห็นต่อรัฐมนตรีเจ้าสังกัด คณะรัฐมนตรี หรือคณะกรรมการ ในปัญหาต่างๆ ที่เกี่ยวข้อง ควบคุม ดูแล บังคับบัญชาข้าราชการและลูกจ้างในส่วนราชการนั้นๆ และทำหน้าที่อื่นๆ ตามที่กฎหมายบัญญัติ,1120
บริหารงานภายในองค์การตามนโยบายที่คณะกรรมการของหน่วยงานรัฐวิสาหกิจได้กำหนดไว้ ภายใต้ กฎ ระเบียบ ข้อบังคับ และการควบคุมของรัฐบาล : วางแผน กำหนดเป้าหมาย จัดระบบการบริหารงาน อำนวยการ และควบคุมการทำงาน รวมทั้งให้คำปรึกษาแนะนำการปฎิบัติงานแก่เจ้าหน้าที่ให้เป็นไปอย่างมีประสิทธิภาพ และบรรลุวัตถุประสงค์ของหน่วยงาน และทำหน้าที่อื่นๆ ตามที่กฎหมายบัญญัติ,1120
บริหารกิจการขององค์การให้บรรลุวัตถุประสงค์ภายใต้กฎหมาย ระเบียบ ข้อบังคับหรือนโยบาย มติ และประกาศของคณะกรรมการองค์การมหาชน : วางแผนกำหนดเป้าหมาย จัดระบบงาน อำนวยการ สั่งการ มอบหมายงาน ควบคุมการทำงาน รวมถึงให้คำปรึกษาแนะนำการปฏิบัติงานแก่ เจ้าหน้าที่ให้เป็นไปอย่างมีประสิทธิภาพและบรรลุวัตถุประสงค์ของหน่วยงาน มีอำนาจในการบรรจุ แต่งตั้ง ลดโทษและบริหาร ค่าจ้าง ตามข้อบังคับที่คณะกรรมการกำหนด วางระเบียบการดำเนินงานขององค์การมหาชนโดยไม่ขัดหรือแย้งกับระเบียบและมติหรือประกาศที่คณะกรรมการกำหนด และทำหน้าที่อื่น ๆ ตามที่กฎหมายบัญญัติ,1120
ผู้ปฏิบัติงานอาชีพในกลุ่มนี้ รวมถึง นักบริหารของหน่วยงานรัฐบาล ซึ่งมิได้จัดประเภทไว้ในที่อื่นกลุ่มอาชีพในหมู่นี้ มีดังนี้,1120
ผู้ปฏิบัติงานอาชีพในหมู่นี้ ได้แก่ ผู้ปฏิบัติงานด้านออกกฎระเบียบการบริหารและพิธีการต่างๆ ตามประเพณี รวมถึงปฏิบัติงานในการจัดสรรการใช้ที่ดินของชุมชน ระหว่างสมาชิกใน ชุมชุมหรือหมู่บ้าน ฝึกฝนวินัยแก่สมาชิกของชุมชนหรือหมู่บ้านมิให้ฝ่าฝืนกฎระเบียบและประเพณี ปฏิบัติหน้าที่ด้านงานพิธีการต่างๆ เกี่ยวกับการเกิด การแต่งงาน การตาย การเก็บเกี่ยว และงานเลี้ยงตามประเพณีต่าง ๆ ทำหน้าที่เป็นตัวแทนชุมชนหรือหมู่บ้านในสภาประจำท้องถิ่นหรือภูมิภาค รับผิดชอบในการแจ้งข่าวเกี่ยวกับกฎหมาย หรือระเบียบของทางการให้ชุมชนหรือหมู่บ้านทราบโดยทั่วกันและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,1130
ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้นำของสมาชิกในชุมชนท้องถิ่น ทำหน้าที่บริหารและพัฒนา ท้องถิ่น ให้ความร่วมมือกับทางราชการในการรักษาความสงบเรียบร้อย สุขภาพอนามัย การประกอบอาชีพของประชาชนในชุมชน เป็นตัวแทนในการแจ้งข่าวสารเกี่ยวกับกฎหมายหรือระเบียบของทางราชการ งานประเพณีและเรื่องอื่นๆ ให้แก่ชุมชนหรือหมู่บ้านได้รับทราบโดยทั่วกัน ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่น ๆ,1130
ทำหน้าที่เป็นผู้นำหรือตัวแทนของชุมชนหรือหมู่บ้านในงานพิธีการต่าง ๆ ที่กำหนดไว้ตามประเพณีที่ปฏิบัติกันมาอย่างต่อเนื่อง ประกอบพิธีกรรมต่าง ๆ เพื่อความสุขความเจริญของชุมชน,1130
ปกครองบรรดาราษฎรที่อยู่ในเขตตำบล ดูแลทุกข์สุขป้องกันรักษาความสงบเรียบร้อยความเดือดร้อนของประชาชน ชุมชนในเขตพื้นที่รับผิดชอบ ร่วมมือกับทางราชการในการปราบปรามการกระทำผิดและระงับเหตุร้ายต่าง ๆ รายงานข้อมูลและรายละเอียดเกี่ยวกับความต้องการของประชาชน เหตุการณ์ต่าง ๆ ในชุมชนให้ทางราชการได้รับทราบ ชี้แจง ทำความเข้าใจกับประชาชนเกี่ยวกับข้อมูล ข่าวสารของทางราชการ จัดทำทะเบียนจำนวนประชากร ครอบครัว สัตว์พาหนะ และอื่นๆ ในพื้นที่ที่ รับผิดชอบ ส่งเสริมและสนับสนุนการประกอบอาชีพที่เป็นหลักแหล่งให้กับราษฎร รวมทั้งจัดระเบียบ หมู่บ้าน ตำบล ให้เรียบร้อยถูกสุขลักษณะเพื่อป้องกันโรคภัยไข้เจ็บ และปฏิบัติหน้าที่อื่น ๆ ตามที่กฎหมายบัญญัติ,1130
ช่วยกำนันดูแลทุกข์สุขและปัดเป่าความเดือดร้อนให้กับราษฎร  ดูแลความสงบ       เรียบร้อยภายในตำบลเพื่อป้องกันเหตุร้ายที่จะเกิดขึ้น และร่วมปรึกษาวางแผนกับกำนันในการบริหาร และพัฒนาท้องถิ่น และดำเนินการในเรื่องต่าง ๆ ตามที่กำนันมอบหมาย,1130
ปฏิบัติงานหลักมูลฐานเช่นเดียวกันกับกำนัน แต่ปกครองบรรดาราษฎรที่อยู่ในเขต หมู่บ้าน และดำเนินการในเรื่องต่าง ๆ ตามที่กำนันมอบหมาย,1130
ช่วยผู้ใหญ่บ้านปกครอง  พัฒนาและรักษาความสงบเรียบร้อยภายในหมู่บ้าน   ตรวจตราและสอดส่องเหตุการณ์ผิดปกติที่จะเกิดขึ้นภายในหมู่บ้านเพื่อหาทางป้องกัน    ร่วมปรึกษาวางแผนกับ  ผู้ใหญ่บ้านในการบริหารและพัฒนาท้องถิ่น  และดำเนินการในเรื่องต่าง ๆ ตามที่ผู้ใหญ่บ้านมอบหมาย,1130
ช่วยกำนันผู้ใหญ่บ้านในการจัดหมู่บ้าน ตำบล ให้มีความเป็นระเบียบเรียบร้อย ถูกสุขลักษณะเพื่อป้องกันโรคภัยไข้เจ็บ ดำเนินการในเรื่องต่าง ๆ เพื่อส่งเสริมและสนับสนุนให้ประชาชน มีสภาพแวดล้อมในการดำรงชีวิตที่มีคุณภาพ มีสุขภาพและพลานามัยที่สมบูรณ์แข็งแรง และดำเนินการ อื่น ๆ ตามที่กำนัน ผู้ใหญ่บ้านมอบหมาย,1130
ผู้ปฏิบัติงานอาชีพในกลุ่มนี้ รวมถึงผู้นำท้องถิ่น/ชุมชนซึ่งมิได้จัดประเภทไว้ในที่อื่น  ตัวอย่างเช่น   คณะกรรมการตำบล   คณะกรรมการหมู่บ้าน  หรือบุคคลซึ่งประชาชนในท้องถิ่นให้ความเคารพศรัทธา   เป็นต้น,1130
ผู้ปฏิบัติงานอาชีพในหมู่นี้ ได้แก่ ผู้ที่พิจารณากำหนดนโยบาย กฎระเบียบขององค์กร กำกับดูแลการดำเนินงานให้เป็นไปตามนโยบายขององค์กรที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่างที่เกี่ยวข้อง เช่น พรรคการเมือง สหภาพการค้า องค์กรลูกจ้าง สมาคมการค้าและอุตสาหกรรม องค์กรเพื่อมนุษยธรรม การกุศลหรือสมาคมเพื่อการศึกษา ดำเนินการเจรจากับรัฐบาลหรือสาธารณชนในนามขององค์กร กำกับดูแลหน่วยงานและเจ้าหน้าที่อื่น ๆ,1140
ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้กำหนดนโยบาย กฎ ข้อบังคับและระเบียบ ต่าง ๆ ของพรรคการเมือง วางแผนและควบคุมการดำเนินงานให้บรรลุวัตถุประสงค์ เป้าหมายและนโยบายของพรรคการเมือง เป็นตัวแทนพรรคการเมือง ในการเจรจา ทำความตกลงกับองค์กรหรือบุคคลที่เกี่ยวข้อง วางแผนและรณรงค์เพื่อการเลือกตั้งผู้สมัครของพรรคการเมือง สรรหาและให้ความรู้แก่สมาชิกพรรคการเมือง เผยแพร่ ประชาสัมพันธ์ ข้อมูล ข่าวสารของพรรคการเมือง กำกับดูแล ปกครองบังคับบัญชาเจ้าหน้าที่ของพรรคการเมืองให้ปฏิบัติงานตามนโยบาย กฎ ระเบียบและข้อบังคับของพรรค ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,1141
กากับ ควบคุมดูแลและให้คาปรึกษา แก่ผู้บริหารพรรคให้บริหารงานตามนโยบายพรรค ควบคุม ดูแล และให้คาปรึกษาแก่รัฐมนตรี สมาชิกสภาผู้แทนราษฎร คณะผู้บริหารท้องถิ่นและสมาชิกสภาท้องถิ่น ประสานงานกับองค์กรต่าง ๆ ของพรรค ร่วมแก้ไขปัญหาการบริหารงานพรรค เผยแพร่ความรู้ทางการเมืองแก่สมาชิกและประชาชนทั่วไป แต่งตั้งและถอดถอนผู้บริหารพรรค และเรื่องอื่นๆ ที่กาหนดให้เป็นหน้าที่ของกรรมการบริหารพรรค,1141
บริหารงานตามนโยบายพรรค  คัดเลือกบุคคลเข้าเป็นสมาชิกพรรค  ออกระเบียบและ   แนวทางการบริหารงานของพรรค  กำหนดแผนการดำเนินการเกี่ยวกับการเลือกตั้งทุกระดับ  รวมทั้งการคัดเลือกผู้ลงสมัครเลือกตั้งในนามของพรรค  อนุมัติจัดตั้งและยุบเลิกสาขาพรรค  ตลอดจนดำเนินการต่าง ๆ เพื่อให้สาขาพรรคบริหารงานไปตามข้อบังคับพรรคและการกำหนดแผนพัฒนาสาขาพรรค  โดยความเห็นชอบของกรรมการบริหารพรรค ประสานงานกับสมาชิกพรรค  กลุ่มการเมืองหรือกลุ่มต่างๆ ในความอุปถัมภ์ของพรรค  อำนวยการและปฏิบัติงานอื่น ๆ  ตามที่กรรมการบริหารพรรคมอบหมาย ,1141
รับผิดชอบการบริหารงานของพรรคตามนโยบาย กฎหมายและข้อบังคับพรรค เป็นตัวแทนของพรรคในการดำเนินกิจการต่างๆ แต่งตั้งกรรมการหรือบุคคลให้ดำเนินการอย่างใด อย่างหนึ่งโดยความเห็นชอบของผู้บริหารพรรค ปฏิบัติงานอื่นๆตามที่กำหนดไว้ในกฎหมายประกอบรัฐธรรมนูญว่าด้วยพรรคการเมือง กฎหมายอื่นๆ หรือในข้อบังคับพรรค,1141
ควบคุมดูแลความสงบเรียบร้อยภายในพรรค ประสานงานกับสมาชิกพรรคและบุคคล ภายนอกเพื่อดำเนินกิจกรรมของพรรคให้บรรลุตามนโยบายของพรรค จัดประชุมใหญ่ ประชุมคณะกรรมการบริหารพรรค ประชุมคณะผู้บริหารพรรคและการประชุมอื่นๆ รวบรวมเอกสาร กลั่นกรองงาน และเสนอความเห็นประกอบการพิจารณาต่อคณะผู้บริหารพรรค,1141
ควบคุมการรับ–จ่ายเงิน การบัญชีและงบดุลของพรรคตามที่กฎหมายหรือตามที่คณะกรรมการบริหารพรรคกำหนด,1141
ประชาสัมพันธ์กิจกรรมของพรรคให้สมาชิกพรรคและสาธารณชนทราบโดยทั่วกัน ตามที่กรรมการบริหารของพรรคกำหนด,1141
ผู้ปฏิบัติงานอาชีพในกลุ่มนี้ รวมถึง เจ้าหน้าที่บริหารพรรคการเมืองซึ่งมิได้จัดประเภทไว้ในที่อื่น ตัวอย่างเช่น ที่ปรึกษาอาวุโสของพรรค กรรมการบริหารสาขาพรรค นายทะเบียนพรรคซึ่งทำหน้าที่ควบคุมการจดทะเบียนรายชื่อสมาชิกพรรคและสาขาพรรค และกรรมการพรรคอื่นๆ มีหน้าที่ตามที่กรรมการบริหารพรรคมอบหมายอาชีพในหน่วยนี้ มีดังนี้,1141
ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้กำหนดนโยบาย กฎระเบียบและข้อบังคับของ องค์กร เป็นตัวแทนในการเจรจาต่อรองกับบุคคลหรือองค์กรอื่นๆ เพื่อผลประโยชน์ขององค์กร เผยแพร่ ข้อมูลข่าวสารขององค์กร วางแผน จัดระบบ เพื่อสรรหาและให้ความรู้แก่สมาชิกองค์กร กำกับ ดูแล ปกครองบังคับบัญชาเจ้าหน้าที่ขององค์กรให้ปฏิบัติงานตามนโยบาย กฎระเบียบ และข้อบังคับขององค์กร ปฏิบัติหน้าที่การงานที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,1142
กำหนดนโยบาย กฎ ระเบียบ และข้อบังคับขององค์กร บริหารและจัดการองค์กรให้เป็นไปตามวัตถุประสงค์ เป้าหมายและนโยบายขององค์กร รวมทั้งปฏิบัติงานอื่น ๆ ที่เกี่ยวข้อง อาจใช้ชื่อว่า นายก/ ประธานสมาคมนายจ้าง นายก/ประธานสหภาพแรงงาน นายก/ประธานองค์กรลูกจ้างแห่งประเทศไทย หรือองค์กรที่มีชื่อเรียกอย่างอื่นตามลักษณะกิจกรรมอาชีพในหน่วยนี้ มีดังนี้,1142
ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้ที่ทำหน้าที่กำหนดนโยบาย กฎ ระเบียบและ ข้อบังคับของ องค์กร เป็นตัวแทนในการเจรจาต่อรองกับองค์กรหรือบุคคล เพื่อประโยชน์ขององค์กร สมาชิกองค์กรหรือกลุ่ม เผยแพร่ประชาสัมพันธ์ข้อมูลข่าวสารขององค์กร วางแผนจัดระบบเพื่อสรรหาสมาชิกและให้ความรู้แก่สมาชิกขององค์กร กำกับ ดูแล ปกครองบังคับบัญชา เจ้าหน้าที่ขององค์กรให้ปฏิบัติงานตามนโยบาย กฎ และระเบียบขององค์กร ปฏิบัติหน้าที่การงาน ที่เกี่ยวข้องและควบคุมดูแลผู้ปฏิบัติงานอื่นๆ,1143
กำหนดนโยบาย กฎ ระเบียบ และข้อบังคับขององค์กร บริหารและจัดการองค์กร ให้เป็นไปตามวัตถุประสงค์ เป้าหมาย และนโยบายขององค์กร รวมทั้งปฏิบัติงานอื่นๆ ที่เกี่ยวข้อง อาจใช้ชื่อว่านายกสมาคมผู้พิทักษ์สิ่งแวดล้อมและคุ้มครองสัตว์ป่า เลขาธิการกลุ่มพิทักษ์ผลประโยชน์ หรือองค์กรที่มีชื่อเรียกอย่างอื่นตามลักษณะกิจกรรมอาชีพในหน่วยนี้ มีดังนี้,1143
ผู้ปฏิบัติงานอาชีพในหน่วยนี้ ได้แก่ ผู้บริหารในองค์กรต่างๆ ที่ทำหน้าที่ตรวจสอบตามรัฐธรรมนูญ ควบคุม กำกับ ตรวจสอบและเสนอความเห็น ตลอดจนใช้มาตรการที่เหมาะสมตามที่กฎหมายให้อำนาจไว้เกี่ยวกับการเลือกตั้งสมาชิกสภาผู้แทนราษฎร สมาชิกวุฒิสภาและอื่น ๆ การปฏิบัติหน้าที่โดยมิชอบหรือละเลยการปฏิบัติหน้าที่ของข้าราชการ พนักงานหรือลูกจ้างของหน่วยราชการ หน่วยงานของรัฐ หรือรัฐวิสาหกิจ การละเมิดสิทธิมนุษยชน การตรวจเงินแผ่นดิน การป้องกันและ ปราบปรามการทุจริตต่อหน้าที่ราชการและ หน้าที่อื่นๆ ตามที่กฎหมายบัญญัติ,1144
พิจารณาและสอบสวนหาข้อเท็จจริงตามคำร้องเรียนในเรื่องที่ข้าราชการ พนักงานของรัฐหรือลูกจ้างของหน่วยราชการ หน่วยงานของรัฐหรือรัฐวิสาหกิจหรือข้าราชการส่วนท้องถิ่น ไม่ปฏิบัติตามกฎหมายหรือปฏิบัตินอกเหนืออำนาจหน้าที่ หรือการปฏิบัติหรือละเลยไม่ปฏิบัติหน้าที่อันก่อให้เกิดความเสียหายแก่ผู้ร้องเรียนหรือประชาชนโดยไม่เป็นธรรม จัดทำรายงานเฉพาะเรื่อง หรือรายงาน ประจำปีพร้อมทั้งเสนอความเห็นและข้อเสนอแนะต่อรัฐสภา และกรณีอื่นตามที่กฎหมายบัญญัติ,1144
ควบคุมและดำเนินการจัดหรือจัดให้มีการเลือกตั้งสมาชิกสภาผู้แทนราษฎร สมาชิก วุฒิสภา สมาชิกสภาท้องถิ่น และผู้บริหารท้องถิ่น รวมทั้งการออกเสียงประชามติให้เป็นไปโดยสุจริตและเที่ยงธรรมและดำเนินการอื่นตามที่กฎหมายบัญญัติ,1144
ตรวจสอบและรายงานการกระทำและละเลยการกระทำที่เป็นการละเมิดสิทธิมนุษยชน หรือไม่เป็นไปตามพันธกรณีระหว่างประเทศเกี่ยวกับสิทธิมนุษยชน และเสนอมาตรการการแก้ไขที่เหมาะสมต่อการกระทำดังกล่าว เสนอแนะนโยบายและเสนอเรื่องการปรับปรุงกฎหมาย กฎ หรือ ข้อบังคับต่อรัฐสภาและคณะรัฐมนตรีเพื่อส่งเสริมและคุ้มครองสิทธิมนุษยชน ส่งเสริมการศึกษา การวิจัยและการเผยแพร่ความรู้ด้านสิทธิมนุษยชน ส่งเสริมความร่วมมือและการประสานงานระหว่างหน่วยราชการ องค์การเอกชนและองค์การอื่นในด้านสิทธิมนุษยชน จัดทำรายงานประจำปีเพื่อประเมินสถานการณ์ด้านสิทธิมนุษยชนภายในประเทศและเสนอต่อรัฐสภา ดำเนินการอื่นตามกฎหมายบัญญัติโดยคำนึงถึงผลประโยชน์ส่วนรวมของชาติและประชาชน,1144
