Classification,Position
1224,ผู้จัดการฝ่ายค้าปลีก
1224,ผู้จัดการค้าปลีก
1224,ผู้จัดการค้าส่ง
1225,ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านภัตตาคารและโรงแรม
1225,ผู้จัดการฝ่ายห้องพัก
1225,ผู้จัดการแผนกงานส่วนหน้า
1225,หัวหน้าแผนกจัดการสัมภาระ
1225,ผู้จัดการงานแม่บ้าน
1225,หัวหน้าแม่บ้าน
1225,ผู้จัดการฝ่ายอาหารและเครื่องดื่ม
1225,ผู้จัดการแผนกห้องอาหาร บาร์และจัดเลี้ยง
1225,ผู้จัดการด้านภัตตาคารและโรงแรมอื่นๆ
1226,ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านการขนส่ง การสื่อสารและคมนาคม (ประเภท I)
1226,ผู้จัดการฝ่ายการขนส่ง
1226,ผู้จัดการสถานี (ทางบก ทางอากาศ ทางนํ้า)
1226,นายสถานีขนส่ง (ทางบก ทางอากาศ ทางนํ้า)
1226,ผู้จัดการฝ่ายบริการ (โทรคมนาคม ดาวเทียม อินเตอร์เน็ตและโทรศัพท์เคลื่อนที่)
1226,ผู้จัดการไปรษณีย์
1226,หัวหน้าที่ทำการไปรษณีย์
1226,นายไปรษณีย์
1226,ผู้จัดการแผนกท่าเรือ
1226,หัวหน้าแผนกท่าเรือ
1226,ผู้จัดการด้านการขนส่ง   การสื่อสารและคมนาคมอื่นๆ
1227,"ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านบริการธุรกิจ (ประเภท J , K)"
1227,ผู้จัดการด้านบริการธุรกิจ
1227,ผู้จัดการด้านการจัดประชุม
1228,"ผู้จัดการฝ่ายผลิตและปฏิบัติการด้านบริการส่วนบุคคล การทำความสะอาดและบริการที่เกี่ยวข้อง (ประเภท O 90/93 , P)"
1228,ผู้จัดการฝ่ายการให้บริการส่วนบุคคล
1228,ผู้จัดการฝ่ายงานทำความสะอาด
1229,"ผู้จัดการฝ่ายผลิตและปฏิบัติการ ซึ่งมิได้จัดประเภทไว้ในที่อื่น (ประเภท L ยกเว้น 7522 , M, N, O : 92 ,Q)"
1229,ผู้บริหารหน่วยงานในมหาวิทยาลัย
1229,ผู้บริหารสถานศึกษา
1229,"ผู้จัดการด้านวัฒนธรรม สันทนาการและกีฬา (Manager, cultural, recreation and"
1229,ผู้บริหารสถานีวิทยุกระจายเสียง
1229,ผู้ผลิตรายการวิทยุกระจายเสียง
1229,ผู้ผลิตรายการโทรทัศน์
1229,ผู้อำนวยการสร้างภาพยนตร์
1229,ผู้จัดการกองถ่ายทำภาพยนตร์
1229,ผู้จัดการฝ่ายผลิตอื่นๆ
1230,ผู้จัดการฝ่ายอื่น ๆ
1231,ผู้จัดการฝ่ายการเงินและบริหาร
1231,ผู้จัดการฝ่ายการเงินและการบัญชี
1231,ผู้จัดการฝ่ายบริหารทั่วไป
1231,ผู้จัดการฝ่ายการเงิน
1231,ผู้จัดการฝ่ายบัญชี
1232,ผู้จัดการฝ่ายบุคคลและอุตสาหกรรมสัมพันธ์
1232,ผู้จัดการฝ่ายบุคคล
1232,ผู้จัดการฝ่ายอุตสาหกรรมสัมพันธ์
1232,ผู้จัดการฝ่ายฝึกอบรม
1233,ผู้จัดการฝ่ายขาย
1233,ผู้จัดการฝ่ายขายและการตลาด
1233,ผู้จัดการฝ่ายส่งเสริมการขาย
1233,ผู้จัดการฝ่ายการตลาด
1234,ผู้จัดการฝ่ายโฆษณาและประชาสัมพันธ์
1234,ผู้จัดการฝ่ายโฆษณา
1234,ผู้จัดการฝ่ายส่งเสริมงานโฆษณา
1234,ผู้จัดการฝ่ายประชาสัมพันธ์
1235,ผู้จัดการฝ่ายจัดหาและจำหน่ายสินค้า
1235,ผู้จัดการฝ่ายจัดซื้อ และวัสดุ
1235,ผู้จัดการฝ่ายพัสดุ (คลังสินค้า)
1236,ผู้จัดการฝ่ายบริการงานด้านคำนวณ
1236,ผู้จัดการฝ่ายบริการงานด้านคำนวณ
1237,ผู้จัดการฝ่ายวิจัยและพัฒนา
1237,ผู้จัดการฝ่าย R&D
1238,ผู้จัดการฝ่ายเทคโนโลยีสารสนเทศ
1238,ผู้จัดการโครงการ
1238,ผู้จัดการด้านระบบคอมพิวเตอร์
1238,ผู้จัดการ IT
1239,ผู้จัดการฝ่ายอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น
1239,ผู้จัดการงานควบคุมจราจรทางอากาศ
1239,ผู้จัดการฝ่ายอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น
1311,ผู้จัดการทั่วไปด้านเกษตรกรรม
1311,ผู้จัดการทั่วไปด้านการล่าสัตว์
1311,ผู้จัดการทั่วไปด้านการประมง
1311,ผู้จัดการทั่วไปด้านการเพาะปลูก
1311,ผู้จัดการทั่วไปฟาร์มปศุสัตว์
1311,ผู้จัดการทั่วไปด้านการป่าไม้
1311,ผู้จัดการทั่วไปในฟาร์มเพาะเลี้ยงสัตว์นํ้า
1312,"ผู้จัดการทั่วไปด้านการผลิต (ประเภท C , D , E)"
1312,ผู้จัดการทั่วไปด้านการผลิต
1313,ผู้จัดการทั่วไปด้านการก่อสร้าง (ประเภท F)
1313,ผู้จัดการทั่วไปด้านการก่อสร้าง
1314,ผู้จัดการทั่วไปด้านค้าส่งและค้าปลีก
1314,ผู้จัดการทั่วไปด้านค้าปลีก
1314,ผู้จัดการทั่วไปด้านค้าส่ง
1314,เจ้าของผู้ดำเนินธุรกิจค้าส่ง
1314,เจ้าของผู้ดำเนินธุรกิจค้าปลีก
1315,ผู้จัดการทั่วไปด้านภัตตาคารและโรงแรม
1315,ผู้จัดการทั่วไปของภัตตาคาร / ห้องอาหาร
1315,ผู้จัดการทั่วไปของโรงแรม
1316,ผู้จัดการทั่วไปด้านขนส่ง คมนาคมและสถานที่เก็บสินค้า (ประเภท I)
1316,ผู้จัดการทั่วไปด้านการขนส่ง
1316,ผู้จัดการทั่วไปด้านการสื่อสาร โทรคมนาคม
1316,ผู้จัดการทั่วไปด้านคลังเก็บสินค้า
1317,ผู้จัดการทั่วไปด้านบริการทางธุรกิจ
1317,ผู้จัดการทั่วไปด้านบริการทางธุรกิจ
1317,ผู้จัดการทั่วไปด้านทรัพย์สิน
1318,"ผู้จัดการทั่วไปด้านบริการส่วนบุคคล การทำความสะอาดและบริการอื่น ๆ ที่เกี่ยวข้อง (ประเภท O: 90/93 , P)"
1318,ผู้จัดการทั่วไปงานบริการส่วนบุคคล
1318,ผู้จัดการทั่วไปด้านการทำความสะอาด
1319,"ผู้จัดการทั่วไปซึ่งมิได้จัดประเภทไว้ในที่อื่น (ประเภท M, N, 0:92 , Q)"
1319,ผู้จัดการสำนักงานตัวแทนการท่องเที่ยว
2100,ผู้ประกอบวิชาชีพด้านฟิสิกส์ คณิตศาสตร์ และวิศวกรรมศาสตร์
2110,นักฟิสิกส์ นักเคมี และผู้ประกอบวิชาชีพที่เกี่ยวข้อง
2111,นักฟิสิกส์และนักดาราศาสตร์
2111,นักฟิสิกส์ทั่วไป
2111,นักฟิสิกส์เฉพาะทาง
2111,นักดาราศาสตร์
2112,นักอุตุนิยมวิทยา
2112,นักอุตุนิยมวิทยา
2113,นักเคมี
2113,นักเคมีทั่วไป
2113,นักเคมีอุตสาหกรรม
2113,นักอินทรีย์เคมี
2113,นักอนินทรีย์เคมี
2113,นักเคมีวิเคราะห์
2113,นักเคมีเชิงฟิสิกส์
2113,นักนิวเคลียร์เคมี
2113,นักเคมีรังสี
2113,นักเคมีเส้นใย-สิ่งทอ
2113,นักเคมีพอลิเมอร์
2113,นักเคมีผลิตภัณฑ์ปิโตรเลียม
2113,นักเคมีด้านการกัดกร่อน
2113,นักเคมีไฟฟ้า
2113,นักเคมีพื้นผิว
2113,นักเคมีของดิน
2113,นักเคมีอื่นๆ
2114,นักธรณีวิทยาและนักธรณีฟิสิกส์
2114,นักธรณีวิทยาทั่วไป
2114,นักธรณีฟิสิกส์
2114,นักธรณีเคมี
2114,นักธรณีปิโตรเลียม
2114,นักบรรพชีวิน
2114,นักธรณีวิศวกรรม
2114,นักธรณีเทคโนโลยี
2114,นักธรณีแหล่งแร่
2114,นักอุทกวิทยา
2114,นักธรณีอื่นๆ
2120,นักคณิตศาสตร์ นักสถิติ และผู้ประกอบวิชาชีพที่เกี่ยวข้อง
2121,นักคณิตศาสตร์และผู้ประกอบวิชาชีพที่เกี่ยวข้อง
2121,นักคณิตศาสตร์บริสุทธิ์
2121,นักคณิตศาสตร์ประยุกต์
2121,นักวิเคราะห์ด้านการวิจัยเชิงปฏิบัติการ
2121,นักคณิตศาสตร์ประกันภัย
2122,นักสถิติ
2122,นักสถิติทั่วไป
2122,นักสถิติทางคณิตศาสตร์
2122,นักสถิติประยุกต์
2122,นักสถิติเฉพาะสาขา
2130,นักวิชาชีพด้านคอมพิวเตอร์
2131,นักออกแบบและวิเคราะห์ระบบงานคอมพิวเตอร์
2131,นักวิเคราะห์ระบบ
2131,ผู้เชี่ยวชาญด้านซอฟต์แวร์ประยุกต์
2131,ผู้เชี่ยวชาญด้านสื่อสารข้อมูล
2131,ผู้เชี่ยวชาญด้านฐานข้อมูล
2131,ผู้เชี่ยวชาญด้านความปลอดภัยของไอที
2131,วิศวกรซอฟต์แวร์
2131,ผู้เชี่ยวชาญด้านแคดแคม
2132,โปรแกรมเมอร์
2132,โปรแกรมเมอร์ Java
2132,โปรแกรมเมอร์ C#
2132,โปรแกรมเมอร์ .NET
2132,นักพัฒนาระบบ
2132,เว็บ มาสเตอร์
2132,เจ้าหน้าที่ฝึกอบรมคอมพิวเตอร์
2139,ผู้ประกอบวิชาชีพด้านคอมพิวเตอร์ที่มิได้จัดประเภทไว้ในที่อื่น
2139,วิศวกรขายด้านไอที
2139,ผู้ประกอบวิชาชีพด้านคอมพิวเตอร์ ซึ่งมิได้จัดประเภทไว้ในที่อื่น
2140,สถาปนิก วิศวกร และผู้ประกอบวิชาชีพที่เกี่ยวข้อง
2141,สถาปนิก นักวางผังเมืองและระบบการจราจร
2141,สถาปนิกอาคาร
2141,สถาปนิกตกแต่งภายในอาคาร
2141,"สถาปนิกภูมิทัศน์ , ภูมิสถาปนิก"
2141,นักวิเคราะห์ผังเมือง
2141,นักผังเมือง
2141,วิศวกรจราจร
2141,นักวางแผนการจราจร
2141,สถาปนิก นักวางผังเมืองและระบบงานจราจรอื่นๆ
2142,วิศวกรโยธา
2142,วิศวกรโยธาทั่วไป
2142,วิศวกรโยธา (การก่อสร้าง) ; วิศวกรควบคุมการก่อสร้าง
2142,วิศวกรโยธา (ออกแบบและก่อสร้างทาง) ; วิศวกรการทาง
2142,วิศวกรโยธา (ออกแบบและก่อสร้างท่าอากาศยาน) ; วิศวกรท่าอากาศยาน
2142,"วิศวกรโยธา (ออกแบบและก่อสร้างทางรถไฟ), วิศวกรรถไฟ"
2142,วิศวกรโยธา (ออกแบบและก่อสร้างสะพาน) ; วิศวกรสะพาน
2142,วิศวกรโยธา (ออกแบบและก่อสร้างอุโมงค์) ; วิศวกรอุโมงค์
2142,วิศวกรโยธา (ออกแบบและก่อสร้างระบบสุขาภิบาล) ; วิศวกรสุขาภิบาล
2142,วิศวกรโยธา (ออกแบบและก่อสร้างระบบชลประทาน)
2142,วิศวกรโยธา (ปฐพีวิศวกรรม)
2142,วิศวกรโยธา (ออกแบบและก่อสร้างระบบการขนส่ง) ; วิศวกรขนส่ง
2142,วิศวกรโยธา (การเกษตร) ; วิศวกรการเกษตร
2142,วิศวกรโยธาอื่น ๆ
2142,ผู้ประกอบวิชาชีพด้านงานบุคลากรและงานอาชีพอื่น ๆ
2143,วิศวกรไฟฟ้า
2143,วิศวกรไฟฟ้าทั่วไป
2143,วิศวกรไฟฟ้ากำลัง
2143,วิศวกรไฟฟ้าระบบวัดคุม
2143,วิศวกรไฟฟ้าอุปกรณ์และเครื่องกลไฟฟ้า
2143,วิศวกรไฟฟ้าระบบส่งและจ่ายพลังงาน
2143,วิศวกรไฟฟ้าอื่น ๆ
2144,วิศวกรอิเล็กทรอนิกส์และการสื่อสารโทรคมนาคม
2144,วิศวกรอิเล็กทรอนิกส์
2144,วิศวกรคอมพิวเตอร์
2144,วิศวกรสื่อสารโทรคมนาคม
2144,วิศวกรสื่อสาร (อุปกรณ์)
2144,วิศวกรอิเล็กทรอนิกส์และการสื่อสารโทรคมนาคมอื่น ๆ
2145,วิศวกรเครื่องกล
2145,วิศวกรเครื่องกลทั่วไป
2145,วิศวกรเครื่องกล (เครื่องจักรและเครื่องมือกล)
2145,วิศวกรเครื่องกล (เครื่องกังหัน ยกเว้นเรือ และอากาศยาน)
2145,วิศวกรเครื่องกล (ระบบท่อ)
2145,วิศวกรเครื่องกล (เครื่องกำเนิดไอนํ้า และภาชนะรับแรงดัน)
2145,วิศวกรเครื่องกล (การเกษตร)
2145,วิศวกรเครื่องกล (หลังเก็บเกี่ยวและแปรสภาพ)
2145,วิศวกรเครื่องกล (อาหาร)
2145,วิศวกรเครื่องกล ( พลังงานนิวเคลียร์)
2145,วิศวกรเครื่องกล (อากาศยาน)
2145,วิศวกรเครื่องกล (รถไฟ)
2145,วิศวกรเครื่องกล (ยานยนต์)
2145,วิศวกรเครื่องกล (เครื่องยนต์ชนิดสันดาปภายใน ยกเว้นเครื่องยนต์ที่ใช้กับเรือ อากาศยาน และรถยนต์)
2145,วิศวกรเครื่องกล (เครื่องกลเรือ)
2145,วิศวกรเครื่องกล (การต่อเรือ)
2145,วิศวกรเครื่องกล (โครงสร้าง)
2145,วิศวกรเครื่องกล (บำรุงรักษา)
2145,วิศวกรเครื่องกล (ระบบปรับอากาศ)
2145,วิศวกรเครื่องกล (ระบบทำความเย็น)
2145,วิศวกรเครื่องกลอื่นๆ
2146,วิศวกรเคมี
2146,วิศวกรเคมีทั่วไป
2146,วิศวกรผลิตภัณฑ์เคมี
2146,วิศวกรการผลิตเคมีภัณฑ์
2146,วิศวกรปิโตเลียม : การกลั่นและผสมนํ้ามัน และผลิตภัณฑ์ปิโตรเลียม
2146,วิศวกรอาหาร ( การผลิตทางเคมี) : นักเทคโนโลยีอาหารและเครื่องดื่ม
2146,วิศวกรเคมีสิ่งทอ
2146,นักเทคโนโลยีเคมีอุตสาหกรรม
2146,วิศวกรเคมีอื่นๆ
2147,วิศวกรเหมืองแร่ นักโลหกรรม และผู้ประกอบวิชาชีพอื่นๆ ที่เกี่ยวข้อง
2147,วิศวกรเหมืองแร่ทั่วไป
2147,วิศวกรเหมืองแร่โลหะ
2147,วิศวกรเหมืองแร่อโลหะ
2147,วิศวกรเหมืองแร่ (ปิโตรเลียมและก๊าซ)
2147,วิศวกรโลหการ
2147,นักโลหกรรมการถลุง
2147,วิศวกรเหมืองแร่อื่นๆ
2148,นักทำแผนที่และนักสำรวจ
2148,นักสำรวจทั่วไป
2148,นักทำแผนที่
2148,นักสำรวจพื้นดิน
2148,นักสำรวจเหมืองแร่
2148,นักสำรวจพื้นนํ้า
2148,นักทำแผนที่และนักสำรวจอื่น ๆ
2148,วิศวกรอุตสาหการ สถาปนิกและผู้ประกอบวิชาชีพวิศวกรรมที่เกี่ยวข้องซึ่งมิได้จัดประเภทไว้ในที่อื่น
2149,วิศวกรอุตสาหการ ; วิศวกรระบบและงานการผลิตทั่วไป
2149,วิศวกรควบคุมประสิทธิภาพ ; เพิ่มผลผลิต
2149,วิศวกรคุณภาพ ; วิศวกรควบคุมคุณภาพ
2149,วิศวกรอุตสาหกรรมการผลิต ; วิศวกรอุตสาหกรรมโรงงาน
2149,วิศวกรเครื่องปั้นดินเผา เครื่องเคลือบดินเผาและเครื่องแก้ว ; วิศวกรเซรามิค
2149,วิศวกรสิ่งทอ ; วิศวกรอุตสาหกรรมสิ่งทอ
2149,วิศวกรเสื้อผ้าและเครื่องนุ่งห่ม
2149,วิศวกรความปลอดภัย
2149,วิศวกรความปลอดภัย (ผลิตภัณฑ์)
2149,วิศวกรสิ่งแวดล้อม (Environmental Engineer) ; วิศวกรประปา ;วิศวกรบำบัดนํ้าเสีย
2149,สถาปนิก และผู้ประกอบวิชาชีพวิศวกรรมอื่น ๆ ที่เกี่ยวข้อง ซึ่งมิได้ จัดประเภทไว้ใน
2200,ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์เกี่ยวกับสิ่งมีชีวิตและสุขอนามัย
2210,ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์เกี่ยวกับสิ่งมีชีวิต
2211,นักชีววิทยา นักพฤกษศาสตร์ นักสัตววิทยาและผู้ประกอบวิชาชีพอื่น ๆ ที่เกี่ยวข้อง
2211,นักชีววิทยาทั่วไป
2211,นักพฤกษศาสตร์
2211,นักสัตววิทยา
2211,นักจุลชีววิทยาและไวรัส
2211,นักนิเวศวิทยา
2211,นักเทคโนโลยีชีวภาพ
2211,นักวิทยาศาสตร์ทางทะเล
2211,นักชีววิทยาและนักวิทยาศาสตร์ที่เกี่ยวข้องอื่น ๆ
2212,นักเภสัชวิทยา นักพยาธิวิทยา และผู้ประกอบวิชาชีพอื่นๆ ที่เกี่ยวข้อง
2212,นักเภสัชวิทยา
2212,นักสรีรวิทยา
2212,นักชีวเคมี
2212,นักฟิสิกส์ชีวภาพ
2212,นักพยาธิวิทยา
2212,นักโรคพืช
2212,นักเทคนิคการแพทย์
2212,นักรังสีเทคนิค
2212,นักนิติเวชวิทยา
2212,นักเภสัชวิทยา นักพยาธิวิทยาและผู้ประกอบวิชาชีพที่เกี่ยวข้องอื่นๆ
2213,นักเกษตรกรรมและผู้ประกอบวิชาชีพอื่นๆที่เกี่ยวข้อง
2213,นักพืชไร่ ; พืชกร
2213,นักพืชสวน
2213,นักวนวัฒนวิทยา
2213,นักวิชาการป่าไม้
2213,นักปฐพีวิทยา ; นักวิทยาศาสตร์ของดิน
2213,นักสัตวบาล
2213,นักกีฏวิทยา
2213,นักเกษตรกรรมและผู้ประกอบวิชาชีพที่เกี่ยวข้องกันอื่นๆ
2220,ผู้ประกอบวิชาชีพเกี่ยวกับสุขภาพ (ยกเว้นการพยาบาล)
2221,แพทย์
2221,อายุรแพทย์
2221,โสต - ศอ - นาสิกและลาริงซ์วิทยา
2221,จักษุแพทย์
2221,ศัลยแพทย์
2221,แพทย์ศัลยกรรมกระดูกและข้อ
2221,วิสัญญีแพทย์
2221,สูติ-นรีแพทย์
2221,กุมารแพทย์
2221,จิตแพทย์
2221,รังสีแพทย์
2221,แพทย์เวชศาสตร์ฟื้นฟู
2221,แพทย์ตจวิทยา (แพทย์โรคผิวหนัง)
2221,แพทย์อื่นๆ
2222,ทันตแพทย์
2222,ทันตแพทย์ทั่วไป
2222,ทันตแพทย์เฉพาะทาง (ทันตกรรมสำหรับเด็ก)
2222,ทันตแพทย์เฉพาะทาง (ศัลยศาสตร์ช่องปากและแม็กซิลโลเฟเชียล)
2222,ทันตแพทย์เฉพาะทาง (วิทยาการวินิจฉัยโรคช่องปาก)
2222,ทันตแพทย์เฉพาะทาง (ทันตกรรมจัดฟัน)
2222,ทันตแพทย์เฉพาะทาง (ทันตกรรมประดิษฐ์)
2222,ทันตแพทย์เฉพาะทาง (ทันตสาธารณสุข)
2222,ทันตแพทย์เฉพาะทาง (ทันตกรรมหัตถการ)
2222,ทันตแพทย์เฉพาะทาง (ปริทันตวิทยา)
2222,ทันตแพทย์เฉพาะทาง (วิทยาเอ็นโดดอนต์)
2222,ทันตแพทย์อื่นๆ
2223,สัตวแพทย์
2223,สัตวแพทย์ทั่วไป
2223,สัตวแพทย์สัตว์เลี้ยง
2223,สัตวแพทย์สัตว์ป่า
2223,สัตวแพทย์สัตว์นํ้า
2223,สัตวแพทย์สัตว์ปศุสัตว์
2223,สัตวแพทย์สัตว์สาธารณสุข
2223,สัตวแพทย์สัตว์ชันสูตร
2223,สัตวแพทย์สัตว์อื่น ๆ
2224,เภสัชกร
2224,เภสัชกรโรงพยาบาล
2224,เภสัชกรชุมชน
2224,เภสัชกรการอุตสาหกรรม
2224,เภสัชกรวิจัยและพัฒนาตัวยาและเภสัชภัณฑ์
2224,เภสัชกรการตลาดยา
2224,เภสัชกรสาธารณสุขและการคุ้มครองผู้บริโภค
2224,เภสัชกรอื่นๆ
2229,ผู้ประกอบวิชาชีพเกี่ยวกับสุขภาพอนามัย (ยกเว้นการพยาบาล) ที่มิได้จัดประเภทไว้ในที่อื่น 
2229,ผู้ประกอบวิชาชีพเกี่ยวกับสุขภาพอนามัย (ยกเว้นการพยาบาล) ที่มิได้จัดประเภทไว้ในที่อื่น
2230,พยาบาลวิชาชีพและผดุงครรภ์
2230,พยาบาลวิชาชีพและผดุงครรภ์อาชีพ
2230,พยาบาลวิชาชีพทั่วไป
2230,พยาบาลวิชาชีพผู้ป่วยนอก
2230,พยาบาลวิชาชีพผู้ป่วยใน
2230,พยาบาลวิชาชีพเฉพาะทาง
2230,ผดุงครรภ์อาชีพ
2230,พยาบาลวิชาชีพในชุมชน
2230,พยาบาลวิชาชีพและผดุงครรภ์อาชีพอื่นๆ
2300,ผู้ประกอบวิชาชีพด้านการสอน
2310,ผู้ประกอบวิชาชีพด้านการสอนระดับวิทยาลัย มหาวิทยาลัยและสถาบันอุดมศึกษา
2310,ผู้สอนในวิทยาลัย มหาวิทยาลัยและสถาบันอุดมศึกษา
2310,อาจารย์ มหาวิทยาลัย
2310,ผู้สอน (สาขาวิชามนุษยศาสตร์ ศาสนา และเทววิทยา)
2310,ผู้สอน (สาขาวิชาศึกษาศาสตร์และการฝึกหัดครู)
2310,ผู้สอน (สาขาวิชาสังคมศาสตร์และพฤติกรรมศาสตร์)
2310,ผู้สอน (สาขาวิชาวิจิตรศิลป์และประยุกต์ศิลป์)
2310,ผู้สอน (สาขาวิชาการสื่อสารมวลชนและการเอกสาร)
2310,ผู้สอน (สาขาวิชานิติศาสตร์)
2310,ผู้สอน (สาขาวิชาการบริหารพาณิชยการและธุรกิจ)
2310,ผู้สอน (สาขาวิชาคหกรรมศาสตร์)
2310,ผู้สอน (สาขาวิชาแพทยศาสตร์และวิชาที่เกี่ยวข้องกับสุขภาพ)
2310,ผู้สอน (สาขาวิชาวิทยาศาสตร์ธรรมชาติ)
2310,ผู้สอน (วิชาวิศวกรรมศาสตร์)
2310,ผู้สอน (สาขาวิชาสถาปัตยกรรมศาสตร์ และการผังเมือง)
2310,ผู้สอน (สาขาวิชาคณิตศาสตร์และวิทยาการคอมพิวเตอร์)
2310,ผู้สอน (สาขาวิชาเกษตรศาสตร์ วนศาสตร์ และการประมง)
2310,ผู้สอนในวิทยาลัย มหาวิทยาลัยและสถาบันอุดมศึกษาอื่น ๆ
2320,ผู้ประกอบวิชาชีพด้านการสอนระดับมัธยมศึกษา
2320,"ผู้ประกอบวิชาชีพด้านการสอนระดับมัธยมศึกษา , ผุ้สอนในระดับมัธยมศึกษา"
2320,ผู้สอนในระดับมัธยมศึกษาสายสามัญ
2320,ผู้สอนในระดับมัธยมศึกษาสายอาชีพ
2320,ผู้สอนในระดับมัธยมศึกษาอื่นๆ
2330,ผู้ประกอบวิชาชีพด้านการสอนระดับประถมศึกษาและก่อนประถมศึกษา
2331,"ผู้ประกอบการวิชาชีพด้านการสอนระดับประถมศึกษา , ผู้สอนในระดับประถมศึกษา"
2331,ผู้สอนในระดับประถมศึกษา
2331,ผู้สอนในระดับประถมศึกษาอื่นๆ
2332,"ผู้ประกอบวิชาชีพด้านการสอนระดับก่อนประถมศึกษา , ผู้สอนในระดับก่อนประถมศึกษา (ชั้นอนุบาล)"
2332,ผู้สอนในระดับอนุบาล
2340,"ผู้ประกอบวิชาชีพด้านการสอนการศึกษาพิเศษ , ครูการศึกษาพิเศษ"
2340,"ผู้ประกอบวิชาชีพด้านการสอนการศึกษาพิเศษ , ครูการศึกษาพิเศษ"
2340,ครูสอนผู้เรียนที่มีความบกพร่องทางการเห็น
2340,ครูสอนผู้เรียนที่มีความบกพร่องทางการได้ยิน
